Vehicle Spy 3 Bus Traffic File
Save Date,7/31/2015
Save Time,3:04:02 pm
Start Date,7/31/2015
Start Time,2:50:38 pm
System Time,1835211
Notes,

Network Description,Hardware,Network,Protocol,Baud Rate
HS CAN,Default,HS CAN,CAN,500000,
MS CAN,Default,MS CAN,CAN,125000,
SW CAN,Default,SW CAN,CAN,33333,
J1850 VPW,Default,J1850 VPW,J1850 VPW,10417,
ISO9141/KW2K,Default,ISO9141/KW2K,KeyWord 2000,10417,
LSFT CAN,Default,LSFT CAN,CAN,125000,
J1850 PWM,Default,J1850 PWM,J1850 PWM,41600,
J1708,Default,J1708,J1708,9600,
neoVI,Default,neoVI,CAN,,
HS CAN2 (neoVI 3G),Default,HS CAN2 (neoVI 3G),CAN,500000,
HS CAN3 (neoVI 3G),Default,HS CAN3 (neoVI 3G),CAN,500000,
LIN2 (neoVI 3G),Default,LIN2 (neoVI 3G),LIN,10417,
LIN3 (neoVI 3G),Default,LIN3 (neoVI 3G),LIN,10417,
LIN4 (neoVI 3G),Default,LIN4 (neoVI 3G),LIN,10417,
CGI (neoVI 3G),Default,CGI (neoVI 3G),CGI,625000,
LIN,Default,LIN,LIN,10417,
ISO9141/KW2K 2,Default,ISO9141/KW2K 2,KeyWord 2000,10417,
ISO9141/KW2K 3,Default,ISO9141/KW2K 3,KeyWord 2000,10417,
ISO9141/KW2K 4,Default,ISO9141/KW2K 4,KeyWord 2000,10417,
SW CAN2 (neoVI 3G),Default,SW CAN2 (neoVI 3G),CAN,33333,
LSFT CAN2 (neoVI 3G),Default,LSFT CAN2 (neoVI 3G),CAN,125000,
UART (neoVI 3G),Default,UART (neoVI 3G),UART,10417,
UART2 (neoVI 3G),Default,UART2 (neoVI 3G),UART,10417,
neoMOST,Default,neoMOST,MOST,1000000,
MOST (VNET A),Default,MOST (VNET A),MOST,1000000,
FlexRay1A (VNET A),Default,FlexRay1A (VNET A),FlexRay,5000000,
FlexRay1B (VNET A),Default,FlexRay1B (VNET A),FlexRay,5000000,
FlexRay2A (VNET A),Default,FlexRay2A (VNET A),FlexRay,5000000,
FlexRay2B (VNET A),Default,FlexRay2B (VNET A),FlexRay,5000000,
HS CAN (VNET A),Default,HS CAN (VNET A),CAN,500000,
MS CAN (VNET A),Default,MS CAN (VNET A),CAN,500000,
SW CAN (VNET A),Default,SW CAN (VNET A),CAN,500000,
J1850 VPW (VNET A),Default,J1850 VPW (VNET A),CAN,500000,
LSFT CAN (VNET A),Default,LSFT CAN (VNET A),CAN,500000,
J1708 (VNET A),Default,J1708 (VNET A),CAN,500000,
neoVI (VNET A),Default,neoVI (VNET A),CAN,500000,
HS CAN2 (VNET A),Default,HS CAN2 (VNET A),CAN,500000,
HS CAN3 (VNET A),Default,HS CAN3 (VNET A),CAN,500000,
LIN (VNET A),Default,LIN (VNET A),LIN,10417,
LIN2 (VNET A),Default,LIN2 (VNET A),LIN,10417,
LIN3 (VNET A),Default,LIN3 (VNET A),LIN,10417,
LIN4 (VNET A),Default,LIN4 (VNET A),LIN,10417,
CGI (VNET A),Default,CGI (VNET A),CGI,625000,
ISO9141/KW2K (VNET A),Default,ISO9141/KW2K (VNET A),CAN,500000,
ISO9141/KW2K 2 (VNET A),Default,ISO9141/KW2K 2 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 3 (VNET A),Default,ISO9141/KW2K 3 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 4 (VNET A),Default,ISO9141/KW2K 4 (VNET A),KeyWord 2000,10417,



Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
6185,623.7210001249999,0.0431743249999954,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,20,,,,,,,,,
6186,623.755547925,0.0345478000000412,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6187,623.821320325,0.06577240000001439,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,22,,,,,,,,,
6188,623.8310977249999,0.009777399999961744,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6189,623.8445790249999,0.01348129999996672,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6190,623.90538305,0.06080402500003856,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6191,623.9162222499999,0.01083919999996397,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,08,22,00,00,00,A5,07,01,,,
6192,623.9164843499999,0.0002620999999862761,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,5F,3B,2C,3C,10,5C,,,
6193,623.9167264499999,0.0002421000000367712,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,74,13,45,,,
6194,623.932191175,0.01546472500001528,422212532436992,F,F,HS CAN $441,HS CAN,,441,F,F,03,0C,00,B9,14,01,00,62,,,
6195,623.9360349499999,0.003843774999950256,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,25,,,,,,,,,
6196,623.9951310749999,0.05909612499999639,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6197,624.0363316749999,0.04120060000002468,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,25,,,,,,,,,
6198,624.0451451749999,0.008813499999973828,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6199,624.0761632499999,0.03101807500001996,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6200,624.136690125,0.0605268750000505,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,25,,,,,,,,,
6201,624.153587025,0.0168969000000061,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6202,624.229306,0.07571897499997249,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6203,624.2360037,0.006697700000017903,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,25,,,,,,,,,
6204,624.2462231,0.01021939999998267,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6205,624.3070311,0.06080800000006548,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6206,624.3926894,0.08565829999997732,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6207,624.445877925,0.05318852499999593,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6208,624.4766020249999,0.03072409999992942,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6209,624.52252215,0.04592012500006604,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,27,,,,,,,,,
6210,624.551018325,0.02849617499998658,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6211,624.622068325,0.07105000000001382,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,27,,,,,,,,,
6212,624.626870125,0.004801799999995637,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6213,624.646970925,0.0201008000000229,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6214,624.704467125,0.05749619999994593,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6215,624.722419725,0.01795260000005783,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,27,,,,,,,,,
6216,624.7932631,0.07084337499998128,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6217,624.8227287,0.02946559999998044,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,2E,,,,,,,,,
6218,624.8468791749999,0.02415047499994216,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6219,624.877605175,0.03072600000007242,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6220,624.922051475,0.04444630000000416,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,28,,,,,,,,,
6221,624.9553294,0.03327792499999304,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6222,624.9934741999999,0.03814479999994092,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,08,28,00,00,00,A5,07,01,,,
6223,624.9937363,0.000262100000099963,422212532436992,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,5F,3B,2C,3C,10,0F,,,
6224,624.9939783999999,0.0002420999999230844,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,74,13,45,,,
6225,625.0093492249999,0.01537082499999087,504675904520192,F,F,HS CAN $441,HS CAN,,441,F,F,02,E9,00,BB,14,01,02,00,,,
6226,625.0224042,0.01305497500004549,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,2B,,,,,,,,,
6227,625.031867575,0.009463374999995722,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6228,625.04864865,0.01678107500003989,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6229,625.1058508249999,0.05720217499992941,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6230,625.1227775249999,0.01692669999999907,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,2C,,,,,,,,,
6231,625.194946825,0.0721693000000414,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6232,625.2221026249999,0.02715579999994588,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,2F,,,,,,,,,
6233,625.2485649499999,0.02646232500001134,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6234,625.275981225,0.02741627500006416,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6235,625.35026625,0.07428502499999468,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6236,625.42599335,0.07572709999999461,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6237,625.44671165,0.02071829999999864,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,32,,,,,,,,,
6238,625.4495256499999,0.002813999999943917,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6239,625.503410175,0.05388452500005769,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6240,625.5784151749999,0.07500499999991916,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6241,625.6009893749999,0.0225742000000082,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,32,,,,,,,,,
6242,625.64930425,0.0483148750000737,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6243,625.656139825,0.00683557499996823,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6244,625.70132815,0.04518832500002645,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,35,,,,,,,,,
6245,625.7312721249999,0.02994397499992374,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6246,625.8016382,0.07036607500003811,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,38,,,,,,,,,
6247,625.8068259749999,0.005187774999967587,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6248,625.850383075,0.04355710000004364,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6249,625.8844229,0.03403982500003622,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6250,625.9009656999999,0.01654279999991104,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,3C,,,,,,,,,
6251,625.9588338999999,0.0578682000000299,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6252,626.001310375,0.04247647500005769,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,38,,,,,,,,,
6253,626.0346902,0.03337982499999726,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6254,626.0514251999999,0.016734999999926,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6255,626.0696177249999,0.01819252500001767,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,08,38,00,00,00,A5,07,01,,,
6256,626.0698798249999,0.0002620999999862761,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,5F,3B,2C,3C,10,0F,,,
6257,626.070121925,0.0002421000000367712,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,74,13,45,,,
6258,626.0854926999999,0.01537077499995121,351843788259328,F,F,HS CAN $441,HS CAN,,441,F,F,02,E9,00,BB,14,01,03,00,,,
6259,626.1016954749999,0.01620277500001066,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,3D,,,,,,,,,
6260,626.1094231,0.007727625000029548,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6261,626.1917715999999,0.08234849999996641,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6262,626.201023,0.009251400000039212,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,3D,,,,,,,,,
6263,626.2519596249999,0.05093662499996299,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6264,626.276058125,0.02409850000003644,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6265,626.3536510499999,0.07759292499997628,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6266,626.4290781249999,0.07542707499999324,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6267,626.4527306499999,0.0236525249999886,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6268,626.485453875,0.03272322500004066,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,3D,,,,,,,,,
6269,626.506748575,0.02129469999999856,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6270,626.59239895,0.08565037500000017,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6271,626.65576475,0.06336580000004233,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6272,626.676559525,0.02079477500001303,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6273,626.7016894999999,0.02512997499991343,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,3D,,,,,,,,,
6274,626.7509702999999,0.04928080000001955,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6275,626.801028075,0.0500577750000275,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,3E,,,,,,,,,
6276,626.82652645,0.02549837499998376,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6277,626.8568005249999,0.0302740749999657,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6278,626.9014108,0.04461027500008186,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,43,,,,,,,,,
6279,626.9040667749999,0.002655974999925092,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6280,626.9931648749999,0.08909810000000107,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6281,627.0017562749999,0.008591400000000249,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,46,,,,,,,,,
6282,627.056308675,0.05455240000003414,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6283,627.0773953749999,0.02108669999995527,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6284,627.1010275499999,0.02363217499998882,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,46,,,,,,,,,
6285,627.1515142249999,0.05048667500000192,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6286,627.201396025,0.04988180000009379,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,48,,,,,,,,,
6287,627.227370425,0.02597439999999551,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6288,627.257176525,0.02980609999997341,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6289,627.2615063249999,0.004329799999936768,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,08,48,00,00,00,BA,07,01,,,
6290,627.261770425,0.0002641000000949134,290271137103872,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,5F,D4,2C,3C,10,0F,,,
6291,627.2620085249999,0.0002380999999331834,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,78,13,45,,,
6292,627.27735735,0.01534882500004642,362838904537088,F,F,HS CAN $441,HS CAN,,441,F,F,02,E0,00,B0,14,01,04,00,,,
6293,627.3007473499999,0.0233899999999494,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,48,,,,,,,,,
6294,627.30194735,0.001200000000039836,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6295,627.39405325,0.09210589999997864,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6296,627.460564975,0.06651172500005487,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6297,627.4813495999999,0.02078462499991929,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6298,627.5589425749999,0.07759297500001594,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6299,627.6040008,0.04505822500004797,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,4D,,,,,,,,,
6300,627.634798825,0.03079802499996731,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6301,627.66129515,0.02649632500003918,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6302,627.68675505,0.0254598999999871,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,4D,,,,,,,,,
6303,627.7122955249999,0.02554047499995704,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6304,627.786059125,0.07376360000000659,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,50,,,,,,,,,
6305,627.7877171499999,0.001658024999983354,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6306,627.860984325,0.07326717500006907,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6307,627.8644542999999,0.003469974999916303,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6308,627.8864045749999,0.02195027499999469,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,53,,,,,,,,,
6309,627.9396310999999,0.05322652500001368,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6310,627.986805025,0.04717392500003825,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,50,,,,,,,,,
6311,628.0154852249999,0.02868019999993976,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6312,628.061836225,0.04635100000007242,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6313,628.0871222249999,0.0252859999999373,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,52,,,,,,,,,
6314,628.09267985,0.005557625000051303,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6315,628.16768695,0.07500709999999344,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6316,628.187451375,0.01976442500006215,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,54,,,,,,,,,
6317,628.2428178499999,0.05536647499991432,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6318,628.26269255,0.01987470000005942,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6319,628.33414785,0.07145530000002509,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6320,628.367029225,0.03288137499998811,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,56,,,,,,,,,
6321,628.4089805,0.04195127499997398,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6322,628.462253025,0.05327252500001123,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6323,628.485085125,0.02283209999995961,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,08,56,00,00,00,BA,07,01,,,
6324,628.489660925,0.004575799999997798,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6325,628.518660525,0.02899960000002011,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,5F,D4,2C,3C,10,0F,,,
6326,628.535541125,0.01688060000003588,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,9A,79,13,45,,,
6327,628.561323025,0.02578189999996994,351843788259328,F,F,HS CAN $441,HS CAN,,441,F,F,02,E0,00,B0,14,01,06,00,,,
6328,628.565486925,0.004163899999980458,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6329,628.5694186999999,0.003931774999955451,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,56,,,,,,,,,
6330,628.6406241,0.07120540000005349,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6331,628.6638065999999,0.02318249999996169,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6332,628.6697743249999,0.005967725000004975,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,58,,,,,,,,,
6333,628.7152373499999,0.04546302500000365,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6334,628.7690788499999,0.05384149999997589,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,58,,,,,,,,,
6335,628.79036745,0.02128860000004806,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6336,628.86680845,0.07644100000004528,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6337,628.8694484499999,0.002639999999928478,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,5C,,,,,,,,,
6338,628.8702784249999,0.0008299749999878259,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6339,628.946177425,0.07589900000004945,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6340,628.9697756249999,0.02359819999992396,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,5E,,,,,,,,,
6341,629.0210102249999,0.05123460000004343,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6342,629.0676671499999,0.04665692499997931,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6343,629.069107325,0.00144017500008431,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,5E,,,,,,,,,
6344,629.1058509249999,0.03674359999990884,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6345,629.1694315249999,0.06358060000002297,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,61,,,,,,,,,
6346,629.18760245,0.01817092500004946,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6347,629.2651973249999,0.07759487499993156,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6348,629.268525225,0.003327900000044792,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6349,629.2697753,0.001250075000029938,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,62,,,,,,,,,
6350,629.339810575,0.07003527500000928,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6351,629.4181153999999,0.07830482499991831,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6352,629.4853490749999,0.06723367500001132,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6353,629.5061377999999,0.02078872499998852,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6354,629.5763118249999,0.07017402500002845,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,67,,,,,,,,,
6355,629.5877591499999,0.01144732499994916,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6356,629.588959125,0.001199975000076847,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,08,67,00,00,00,BA,07,01,,,
6357,629.589225225,0.000266099999976177,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,5F,D4,2C,3C,10,0F,,,
6358,629.589459325,0.0002341000000569693,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,33,7B,13,45,,,
6359,629.6048081,0.01534877500000675,351843788259328,F,F,HS CAN $441,HS CAN,,441,F,F,02,E0,00,B0,14,01,07,00,,,
6360,629.6558418249999,0.0510337249999111,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,67,,,,,,,,,
6361,629.6630973499999,0.007255525000005036,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6362,629.68700195,0.02390460000003714,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6363,629.7375766499999,0.05057469999997011,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6364,629.7551392749999,0.01756262499998229,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,63,,,,,,,,,
6365,629.812713475,0.05757420000009006,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6366,629.8555179499999,0.04280447499991169,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,62,,,,,,,,,
6367,629.903964775,0.04844682500004183,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6368,629.907434675,0.003469900000027337,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6369,629.955822575,0.04838789999996607,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,63,,,,,,,,,
6370,629.9892243749999,0.03340179999997872,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6371,630.055174775,0.06595040000001973,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,65,,,,,,,,,
6372,630.0669461499999,0.01177137499996661,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
6373,630.104813625,0.03786747500009824,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
6374,630.14473705,0.03992342499998358,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
