Abs Time(Sec),B1,B2,Compass Heading,
437.7173241,01,5D,34.9,34.9
437.8166305,01,53,33.9,33.9
437.9169637,01,47,32.7,32.7
438.0173207,01,3A,31.4,31.4
438.1166791,01,2B,29.9,29.9
438.2170168,01,1F,28.7,28.7
438.3173396,01,15,27.7,27.7
438.5970034,00,F3,24.3,24.3
438.6972587,00,F3,24.3,24.3
438.7965777,00,E9,23.3,23.3
438.896904,00,D9,21.7,21.7
438.9972808,00,C9,20.1,20.1
439.0966042,00,BB,18.7,18.7
439.196903,00,AF,17.5,17.5
439.4000428,00,8E,14.2,14.2
439.5645343,00,8E,14.2,14.2
439.6649052,00,72,11.4,11.4
439.7652545,00,5F,9.5,9.5
439.8645769,00,51,8.1,8.1
439.9648786,00,3E,6.2,6.2
440.0652754,00,39,5.7,5.7
440.164593,00,2B,4.3,4.3
440.2649029,00,2B,4.3,4.3
440.4553441,00,13,1.9,1.9
440.6376634,00,13,1.9,1.9
440.7380157,00,00,0,0
440.8373112,0E,0B,359.5,-0.5
440.9376419,0E,01,358.5,-1.5
441.0380285,0D,EE,356.6,-3.4
441.1373288,0D,E8,356,-4
441.2376443,0D,D4,354,-6
441.3379969,0D,D1,353.7,-6.3
441.725447,0D,C0,352,-8
441.8417819,0D,C0,352,-8
441.9411112,0D,AC,350,-10
442.0414739,0D,A2,349,-11
442.1417998,0D,AE,350.2,-9.8
442.2555244,0D,98,348,-12
442.4580055,0D,85,346.1,-13.9
442.6333279,0D,85,346.1,-13.9
442.7336523,0D,73,344.3,-15.7
442.8340068,0D,73,344.3,-15.7
442.9333703,0D,73,344.3,-15.7
443.0337134,0D,77,344.7,-15.3
443.1340658,0D,70,344,-16
443.2333883,0D,73,344.3,-15.7
443.581303,0D,71,344.1,-15.9
443.6808339,0D,7B,345.1,-14.9
443.7801855,0D,73,344.3,-15.7
443.880499,0D,73,344.3,-15.7
443.9808206,0D,6D,343.7,-16.3
444.0801534,0D,5F,342.3,-17.7
444.180497,0D,6E,343.8,-16.2
444.2808603,0D,60,342.4,-17.6
444.5679924,0D,73,344.3,-15.7
444.6556381,0D,73,344.3,-15.7
444.7559976,0D,6B,343.5,-16.5
444.8563148,0D,73,344.3,-15.7
444.9566572,0D,70,344,-16
445.0559995,0D,73,344.3,-15.7
445.1563389,0D,85,346.1,-13.9
445.2566979,0D,89,346.5,-13.5
445.4452243,0D,85,346.1,-13.9
445.6345259,0D,85,346.1,-13.9
445.7348927,0D,8C,346.8,-13.2
445.8341954,0D,8A,346.6,-13.4
445.9345331,0D,85,346.1,-13.9
446.0349186,0D,8B,346.7,-13.3
446.1342154,0D,8C,346.8,-13.2
446.2346039,0D,95,347.7,-12.3
446.5389471,0D,AB,349.9,-10.1
446.7353044,0D,AB,349.9,-10.1
446.8356255,0D,C0,352,-8
446.9349681,0D,C2,352.2,-7.8
447.0353346,0D,C6,352.6,-7.4
447.135636,0D,CB,353.1,-6.9
447.2349632,0D,D5,354.1,-5.9
447.5041342,0D,D5,354.1,-5.9
447.6128173,0D,D5,354.1,-5.9
447.7131741,0D,E9,356.1,-3.9
447.8135471,0D,F3,357.1,-2.9
447.9242428,0D,FC,358,-2
448.0244741,0D,F7,357.5,-2.5
448.1237527,0D,FD,358.1,-1.9
448.2241274,00,00,0,0
448.5365057,00,0E,1.4,1.4
448.5366398,00,0E,1.4,1.4
448.5367739,00,0E,1.4,1.4
448.536908,00,0E,1.4,1.4
448.5370421,00,0E,1.4,1.4
448.5371762,00,0E,1.4,1.4
448.5373104,00,0E,1.4,1.4
448.5374444,00,0E,1.4,1.4
448.5375786,00,0E,1.4,1.4
448.5377126,00,0E,1.4,1.4
448.5378468,00,0E,1.4,1.4
448.5379808,00,0E,1.4,1.4
448.538115,00,0E,1.4,1.4
448.5382491,00,0E,1.4,1.4
448.5383832,00,0E,1.4,1.4
448.5385173,00,0E,1.4,1.4
448.5386515,00,0E,1.4,1.4
448.5387855,00,0E,1.4,1.4
448.5389197,00,0E,1.4,1.4
448.5390538,00,0E,1.4,1.4
448.5391879,00,0E,1.4,1.4
448.5393221,00,0E,1.4,1.4
448.5394562,00,0E,1.4,1.4
448.5395903,00,0E,1.4,1.4
448.6122371,00,0E,1.4,1.4
448.7125407,00,1C,2.8,2.8
448.8118879,00,26,3.8,3.8
448.9121966,00,30,4.8,4.8
449.0125593,00,26,3.8,3.8
449.1119128,00,39,5.7,5.7
449.2122221,00,35,5.3,5.3
449.4030654,00,55,8.5,8.5
449.5849898,00,55,8.5,8.5
449.685305,00,6E,11,11
449.7846577,00,76,11.8,11.8
449.8849557,00,7C,12.4,12.4
449.9853553,00,85,13.3,13.3
450.0846358,00,91,14.5,14.5
450.1849803,00,90,14.4,14.4
450.2853582,00,96,15,15
450.5551242,00,97,15.1,15.1
450.6549827,00,AC,17.2,17.2
450.7553189,00,BC,18.8,18.8
450.8546545,00,C3,19.5,19.5
450.9550073,00,C6,19.8,19.8
451.0553418,00,D5,21.3,21.3
451.1547044,00,E4,22.8,22.8
451.2550298,00,F0,24,24
451.5664896,01,0D,26.9,26.9
451.7557304,01,0D,26.9,26.9
451.8561127,01,21,28.9,28.9
451.9554065,01,27,29.5,29.5
452.055744,01,29,29.7,29.7
452.1561285,01,3A,31.4,31.4
452.2554309,01,38,31.2,31.2
452.5630194,01,44,32.4,32.4
452.6629995,01,63,35.5,35.5
452.762307,01,72,37,37
452.8626259,01,7C,38,38
452.9630041,01,85,38.9,38.9
453.0623084,01,95,40.5,40.5
453.1626676,01,A7,42.3,42.3
453.2629823,01,A6,42.2,42.2
453.5459279,01,B9,44.1,44.1
453.6336602,01,B9,44.1,44.1
453.7340069,01,C7,45.5,45.5
453.8333757,01,CD,46.1,46.1
453.9336855,01,DE,47.8,47.8
454.0340688,01,E1,48.1,48.1
454.1333695,01,F1,49.7,49.7
454.2337103,01,FB,50.7,50.7
454.5324699,02,18,53.6,53.6
454.6360908,02,18,53.6,53.6
454.7354464,02,2C,55.6,55.6
454.8358094,02,36,56.6,56.6
454.9351317,02,3C,57.2,57.2
455.0354664,02,48,58.4,58.4
455.1358399,02,4D,58.9,58.9
455.235169,02,59,60.1,60.1
455.4150147,02,6D,62.1,62.1
455.6130016,02,6D,62.1,62.1
455.712339,02,8D,65.3,65.3
455.8126641,02,92,65.8,65.8
455.9130279,02,9B,66.7,66.7
456.0123094,02,A1,67.3,67.3
456.1126719,02,B0,68.8,68.8
456.2130369,02,B5,69.3,69.3
456.3123709,02,C5,70.9,70.9
456.6713551,02,E5,74.1,74.1
456.8028006,02,E5,74.1,74.1
456.9031862,02,FB,76.3,76.3
457.0035377,03,00,76.8,76.8
457.1028397,03,0C,78,78
457.2032195,03,17,79.1,79.1
457.3035641,03,1F,79.9,79.9
457.590321,03,3E,83,83
457.6844304,03,3E,83,83
457.7837508,03,52,85,85
457.8841064,03,5C,86,86
457.9844504,03,5C,86,86
458.0838173,03,60,86.4,86.4
458.1841636,03,68,87.2,87.2
458.2844852,03,6B,87.5,87.5
458.5589362,03,76,88.6,88.6
458.6592498,03,8E,91,91
458.7596209,03,98,92,92
458.8589115,03,9F,92.7,92.7
458.9592675,03,A6,93.4,93.4
459.0595991,03,B0,94.4,94.4
459.1589221,03,B3,94.7,94.7
459.2593226,03,B2,94.6,94.6
459.532723,03,BF,95.9,95.9
459.6319883,03,D1,97.7,97.7
459.7323748,03,DB,98.7,98.7
459.8327299,03,E2,99.4,99.4
459.932012,03,EB,100.3,100.3
460.0324116,03,ED,100.5,100.5
460.1327096,03,F6,101.4,101.4
460.2320429,03,F8,101.6,101.6
460.3815883,04,03,102.7,102.7
460.6057909,04,03,102.7,102.7
460.7051155,04,12,104.2,104.2
460.8054809,04,1A,105,105
460.9058101,04,1F,105.5,105.5
461.0061448,04,29,106.5,106.5
461.106489,04,32,107.4,107.4
461.2058236,04,37,107.9,107.9
461.3870274,04,45,109.3,109.3
461.6902473,04,4E,110.2,110.2
461.8028048,04,4E,110.2,110.2
461.9031664,04,55,110.9,110.9
462.0034872,04,59,111.3,111.3
462.1028316,04,64,112.4,112.4
462.2031691,04,66,112.6,112.6
462.3035284,04,71,113.7,113.7
462.6240471,04,79,114.5,114.5
462.7243638,04,90,116.8,116.8
462.8236956,04,99,117.7,117.7
462.9241272,04,99,117.7,117.7
463.0243607,04,9D,118.1,118.1
463.1236933,04,9E,118.2,118.2
463.2240388,04,A4,118.8,118.8
463.3244183,04,A9,119.3,119.3
463.6048445,04,BB,121.1,121.1
463.6930481,04,BB,121.1,121.1
463.7933954,04,BC,121.2,121.2
463.8927245,04,CB,122.7,122.7
463.9930729,04,CB,122.7,122.7
464.0934168,04,DA,124.2,124.2
464.1927038,04,DB,124.3,124.3
464.2930844,04,D8,124,124
464.5664867,04,E5,125.3,125.3
464.6657899,04,ED,126.1,126.1
464.7661203,04,EC,126,126
464.866466,04,F7,127.1,127.1
464.9668149,04,F7,127.1,127.1
465.0671721,05,04,128.4,128.4
465.1665123,05,0B,129.1,129.1
465.2668576,05,0F,129.5,129.5
465.560165,05,1C,130.8,130.8
465.6569988,05,1C,130.8,130.8
465.7686531,05,23,131.5,131.5
465.8689502,05,2A,132.2,132.2
465.9692898,05,2B,132.3,132.3
466.0686131,05,34,133.2,133.2
466.1689735,05,36,133.4,133.4
466.2693127,05,38,133.6,133.6
466.5473841,05,46,135,135
466.7648681,05,46,135,135
466.8652455,05,54,136.4,136.4
466.9645845,05,54,136.4,136.4
467.0649359,05,5D,137.3,137.3
467.1652337,05,61,137.7,137.7
467.2656114,05,63,137.9,137.9
467.454412,05,74,139.6,139.6
467.6393708,05,74,139.6,139.6
467.7396764,05,7B,140.3,140.3
467.8400573,05,83,141.1,141.1
467.939388,05,85,141.3,141.3
468.0397447,05,8A,141.8,141.8
468.1400479,05,8A,141.8,141.8
468.2394004,05,8F,142.3,142.3
468.5432137,05,9B,143.5,143.5
468.6428514,05,9B,143.5,143.5
468.7431766,05,A2,144.2,144.2
468.8425016,05,A6,144.6,144.6
468.9428261,05,AA,145,145
469.0432136,05,B4,146,146
469.1425425,05,B4,146,146
469.2428474,05,B8,146.4,146.4
469.545565,05,C7,147.9,147.9
469.625839,05,C7,147.9,147.9
469.7261974,05,CB,148.3,148.3
469.8254689,05,CA,148.2,148.2
469.9258296,05,D4,149.2,149.2
470.0261777,05,D2,149,149
470.1255915,05,D7,149.5,149.5
470.2258662,05,DB,149.9,149.9
470.5171782,05,E7,151.1,151.1
470.6119062,05,E7,151.1,151.1
470.7122672,05,EC,151.6,151.6
470.8115518,05,F6,152.6,152.6
470.9119406,05,FB,153.1,153.1
471.0122882,05,FC,153.2,153.2
471.1115774,06,06,154.2,154.2
471.2119498,06,06,154.2,154.2
471.495171,06,11,155.3,155.3
471.7095623,06,11,155.3,155.3
471.8098962,06,16,155.8,155.8
471.9092196,06,1C,156.4,156.4
472.0095962,06,1A,156.2,156.2
472.1099311,06,1F,156.7,156.7
472.2092406,06,25,157.3,157.3
472.5120308,06,37,159.1,159.1
472.6179157,06,37,159.1,159.1
472.7171369,06,39,159.3,159.3
472.8175169,06,3B,159.5,159.5
472.9178262,06,43,160.3,160.3
473.0171548,06,44,160.4,160.4
473.1175341,06,46,160.6,160.6
473.2178854,06,45,160.5,160.5
473.5087763,06,51,161.7,161.7
473.597761,06,51,161.7,161.7
473.6980912,06,53,161.9,161.9
473.797418,06,5C,162.8,162.8
473.897774,06,5F,163.1,163.1
473.9980936,06,5F,163.1,163.1
474.0974444,06,67,163.9,163.9
474.1977648,06,6A,164.2,164.2
474.3783509,06,6D,164.5,164.5
474.5735934,06,6D,164.5,164.5
474.6739216,06,77,165.5,165.5
474.7732327,06,77,165.5,165.5
474.8735736,06,7A,165.8,165.8
474.9739683,06,7A,165.8,165.8
475.0732665,06,7F,166.3,166.3
475.1736161,06,83,166.7,166.7
475.2739767,06,84,166.8,166.8
475.5634815,06,97,168.7,168.7
475.6538609,06,97,168.7,168.7
475.7542276,06,9A,169,169
475.8535005,06,9D,169.3,169.3
475.9538857,06,9F,169.5,169.5
476.0542464,06,A0,169.6,169.6
476.1545671,06,A1,169.7,169.7
476.2549189,06,A3,169.9,169.9
476.4312891,06,A9,170.5,170.5
476.7345192,06,B1,171.3,171.3
476.8477669,06,B1,171.3,171.3
476.9471386,06,B3,171.5,171.5
477.0474527,06,BC,172.4,172.4
477.1478018,06,BF,172.7,172.7
477.2471438,06,BF,172.7,172.7
477.5443501,06,C7,173.5,173.5
477.624948,06,C7,173.5,173.5
477.7253395,06,CA,173.8,173.8
477.825653,06,CA,173.8,173.8
477.9249826,06,D2,174.6,174.6
478.0253191,06,D2,174.6,174.6
478.1257103,06,D8,175.2,175.2
478.2249974,06,DD,175.7,175.7
478.325359,06,DD,175.7,175.7
478.6080541,06,DF,175.9,175.9
478.7072867,06,E0,176,176
478.8076433,06,E8,176.8,176.8
478.9079808,06,E5,176.5,176.5
479.007284,06,E5,176.5,176.5
479.1076587,06,EB,177.1,177.1
479.2079996,06,ED,177.3,177.3
479.5005096,06,FD,178.9,178.9
479.5991599,06,FD,178.9,178.9
479.6984834,06,FD,178.9,178.9
479.798842,07,05,179.7,179.7
479.8991503,07,05,179.7,179.7
479.9995278,07,05,179.7,179.7
480.0998568,07,08,180,180
480.1991858,07,08,180,180
480.4975901,07,0F,180.7,180.7
480.5903377,07,0F,180.7,180.7
480.6906921,07,12,181,181
480.7910358,07,14,181.2,181.2
480.8903749,07,1C,182,182
480.9906875,07,1C,182,182
481.0910735,07,1F,182.3,182.3
481.1903608,07,1F,182.3,182.3
481.2907455,07,21,182.5,182.5
481.5969131,07,27,183.1,183.1
481.7904094,07,27,183.1,183.1
481.890763,07,2E,183.8,183.8
481.9900782,07,31,184.1,184.1
482.0904667,07,31,184.1,184.1
482.1908194,07,38,184.8,184.8
482.5093646,07,3B,185.1,185.1
482.5942028,07,3B,185.1,185.1
482.6997695,07,40,185.6,185.6
482.8000312,07,43,185.9,185.9
482.8993643,07,43,185.9,185.9
482.9996908,07,40,185.6,185.6
483.1000648,07,43,185.9,185.9
483.1993883,07,45,186.1,186.1
483.2997208,07,4A,186.6,186.6
483.5834604,07,4F,187.1,187.1
483.6826812,07,4F,187.1,187.1
483.7830665,07,54,187.6,187.6
483.8823385,07,57,187.9,187.9
483.9827379,07,59,188.1,188.1
484.0830368,07,59,188.1,188.1
484.1824057,07,59,188.1,188.1
484.2827077,07,5C,188.4,188.4
484.5691868,07,64,189.2,189.2
484.6585339,07,64,189.2,189.2
484.7588972,07,66,189.4,189.4
484.8582078,07,6D,190.1,190.1
484.9585293,07,6E,190.2,190.2
485.0588875,07,6E,190.2,190.2
485.1582029,07,6B,189.9,189.9
485.2585784,07,6D,190.1,190.1
485.5344312,07,72,190.6,190.6
485.6312831,07,72,190.6,190.6
485.7316519,07,75,190.9,190.9
485.8319644,07,75,190.9,190.9
485.9312736,07,7A,191.4,191.4
486.0316268,07,7F,191.9,191.9
486.1319994,07,81,192.1,192.1
486.2313221,07,81,192.1,192.1
486.3317055,07,82,192.2,192.2
486.6420201,07,8B,193.1,193.1
486.8231563,07,8B,193.1,193.1
486.9235113,07,89,192.9,192.9
487.0238321,07,8B,193.1,193.1
487.1231808,07,8B,193.1,193.1
487.2235181,07,90,193.6,193.6
487.3238671,07,93,193.9,193.9
487.6003845,07,95,194.1,194.1
487.7007186,07,95,194.1,194.1
487.8000243,07,95,194.1,194.1
487.9003652,07,95,194.1,194.1
488.0007441,07,9A,194.6,194.6
488.1000398,07,9C,194.8,194.8
488.2003842,07,9F,195.1,195.1
488.4215378,07,A2,195.4,195.4
488.5761598,07,A2,195.4,195.4
488.6765247,07,A6,195.8,195.8
488.7758503,07,A8,196,196
488.8761704,07,AA,196.2,196.2
488.9765502,07,AB,196.3,196.3
489.0758631,07,AB,196.3,196.3
489.1762166,07,AD,196.5,196.5
489.2765393,07,B2,197,197
489.5510009,07,AD,196.5,196.5
489.6513277,07,B4,197.2,197.2
489.7516501,07,B2,197,197
489.8510139,07,B4,197.2,197.2
489.9513308,07,B2,197,197
490.0516855,07,BB,197.9,197.9
490.151016,07,BD,198.1,198.1
490.2513443,07,BC,198,198
490.3517493,07,BE,198.2,198.2
490.6230509,07,BE,198.2,198.2
490.7234151,07,C2,198.6,198.6
490.8237546,07,C2,198.6,198.6
490.9230754,07,C7,199.1,199.1
491.0234503,07,C4,198.8,198.8
491.1238081,07,C7,199.1,199.1
491.2231016,07,CA,199.4,199.4
491.411335,07,CA,199.4,199.4
491.7717875,07,CA,199.4,199.4
491.8712727,07,D1,200.1,200.1
491.9716174,07,D1,200.1,200.1
492.0719399,07,D1,200.1,200.1
492.1722874,07,D1,200.1,200.1
492.2716625,07,D7,200.7,200.7
492.5669998,07,DA,201,201
492.6545822,07,DA,201,201
492.7611554,07,DB,201.1,201.1
492.861438,07,DC,201.2,201.2
492.9607622,07,DB,201.1,201.1
493.0611096,07,DB,201.1,201.1
493.1614666,07,DA,201,201
493.2607915,07,DF,201.5,201.5
493.5415532,07,DF,201.5,201.5
493.6406784,07,E7,202.3,202.3
493.7409868,07,E5,202.1,202.1
493.8413361,07,E7,202.3,202.3
493.9406652,07,E7,202.3,202.3
494.04106,07,E9,202.5,202.5
494.1413541,07,F0,203.2,203.2
494.2407,07,EB,202.7,202.7
494.525118,07,EE,203,203
494.6134223,07,EE,203,203
494.7127456,07,EF,203.1,203.1
494.813115,07,F2,203.4,203.4
494.9134597,07,F1,203.3,203.3
495.0127916,07,F3,203.5,203.5
495.1131106,07,F7,203.9,203.9
495.2134561,07,F9,204.1,204.1
495.5160096,07,FC,204.4,204.4
495.6127933,07,FC,204.4,204.4
495.7131654,07,FB,204.3,204.3
495.8135149,07,FA,204.2,204.2
495.9128158,07,FB,204.3,204.3
496.0131692,07,F9,204.1,204.1
496.1135152,07,FA,204.2,204.2
496.2128229,07,F9,204.1,204.1
496.4388341,07,FC,204.4,204.4
496.7252281,07,FB,204.3,204.3
496.8077809,07,FB,204.3,204.3
496.9080841,07,F1,203.3,203.3
497.0074578,07,F3,203.5,203.5
497.1077739,07,F1,203.3,203.3
497.2081108,07,F2,203.4,203.4
497.3074557,07,F1,203.3,203.3
497.5808325,07,EF,203.1,203.1
497.6812258,07,E8,202.4,202.4
497.7805245,07,E7,202.3,202.3
497.880857,07,E5,202.1,202.1
497.9812409,07,E4,202,202
498.0805364,07,E0,201.6,201.6
498.1809008,07,DD,201.3,201.3
498.2812259,07,DA,201,201
498.5577034,07,D7,200.7,200.7
498.6580544,07,C8,199.2,199.2
498.7573568,07,CA,199.4,199.4
498.8577023,07,C4,198.8,198.8
498.958051,07,C3,198.7,198.7
499.0573981,07,BF,198.3,198.3
499.1577544,07,BD,198.1,198.1
499.2581218,07,B9,197.7,197.7
499.4690326,07,B0,196.8,196.8
499.6369577,07,B0,196.8,196.8
499.7373028,07,9E,195,195
499.8366065,07,9A,194.6,194.6
499.9369689,07,93,193.9,193.9
500.0373386,07,8D,193.3,193.3
500.1366157,07,89,192.9,192.9
500.2369691,07,81,192.1,192.1
500.5181626,07,73,190.7,190.7
500.6168892,07,73,190.7,190.7
500.7172282,07,70,190.4,190.4
500.8165664,07,6E,190.2,190.2
500.9168738,07,69,189.7,189.7
501.0172268,07,64,189.2,189.2
501.1165857,07,5E,188.6,188.6
501.2169297,07,5A,188.2,188.2
501.5170634,07,41,185.7,185.7
501.7350265,07,41,185.7,185.7
501.834378,07,34,184.4,184.4
501.9347122,07,2C,183.6,183.6
502.0350799,07,2B,183.5,183.5
502.1343825,07,24,182.8,182.8
502.2347199,07,24,182.8,182.8
502.4419523,07,12,181,181
502.6023591,07,12,181,181
502.7026598,06,FD,178.9,178.9
502.8030118,06,F5,178.1,178.1
502.9023335,06,EF,177.5,177.5
503.0027102,06,EA,177,177
503.103031,06,DF,175.9,175.9
503.2023427,06,DD,175.7,175.7
503.4995844,06,CC,174,174
503.5965926,06,CC,174,174
503.6969419,06,BB,172.3,172.3
503.7962848,06,B9,172.1,172.1
503.9028413,06,AE,171,171
504.0030728,06,A5,170.1,170.1
504.1024119,06,A2,169.8,169.8
504.2027665,06,9A,169,169
504.3031388,06,8E,167.8,167.8
504.6033182,06,77,165.5,165.5
504.6840062,06,77,165.5,165.5
504.7833304,06,75,165.3,165.3
504.8836797,06,6C,164.4,164.4
504.9840688,06,67,163.9,163.9
505.0833633,06,5C,162.8,162.8
505.1836986,06,51,161.7,161.7
505.2840453,06,46,160.6,160.6
505.5782494,06,2B,157.9,157.9
505.6680831,06,2B,157.9,157.9
505.7673807,06,29,157.7,157.7
505.8677237,06,1F,156.7,156.7
505.9680742,06,13,155.5,155.5
506.0673973,06,10,155.2,155.2
506.1677221,06,0C,154.8,154.8
506.3167801,05,FA,153,153
506.6537161,05,E2,150.6,150.6
506.7688024,05,E2,150.6,150.6
506.8681576,05,D2,149,149
506.9685022,05,CC,148.4,148.4
507.0688215,05,C3,147.5,147.5
507.1681467,05,B7,146.3,146.3
507.2685153,05,B4,146,146
507.5688931,05,99,143.3,143.3
507.6688804,05,99,143.3,143.3
507.7681929,05,88,141.6,141.6
507.8685225,05,80,140.8,140.8
507.9688774,05,7A,140.2,140.2
508.0681968,05,6D,138.9,138.9
508.1686084,05,6B,138.7,138.7
508.2689237,05,65,138.1,138.1
508.5710972,05,4A,135.4,135.4
508.666177,05,4A,135.4,135.4
508.7665234,05,4E,135.8,135.8
508.8669009,05,41,134.5,134.5
508.9662121,05,3A,133.8,133.8
509.0665655,05,32,133,133
509.166914,05,29,132.1,132.1
509.2662215,05,23,131.5,131.5
509.5413612,05,16,130.2,130.2
509.6410099,05,00,128,128
509.7403121,04,FC,127.6,127.6
509.8406495,04,F9,127.3,127.3
509.9409921,04,F4,126.8,126.8
510.0403324,04,EF,126.3,126.3
510.1407179,04,EE,126.2,126.2
510.2410426,04,E6,125.4,125.4
510.5320238,04,DA,124.2,124.2
510.6148124,04,DA,124.2,124.2
510.7140998,04,D1,123.3,123.3
510.8144843,04,CB,122.7,122.7
510.9148248,04,C3,121.9,121.9
511.0141003,04,BA,121,121
511.1144454,04,B4,120.4,120.4
511.2147917,04,AE,119.8,119.8
511.3141774,04,A9,119.3,119.3
511.6509072,04,A7,119.1,119.1
511.8251916,04,A7,119.1,119.1
511.9254741,04,A4,118.8,118.8
512.0257901,04,9E,118.2,118.2
512.1261636,04,9E,118.2,118.2
512.2265042,04,99,117.7,117.7
512.5018958,04,80,115.2,115.2
512.6094784,04,80,115.2,115.2
512.7088015,04,7F,115.1,115.1
512.809118,04,77,114.3,114.3
512.9094913,04,72,113.8,113.8
513.0087766,04,74,114,114
513.1091497,04,76,114.2,114.2
513.2094781,04,72,113.8,113.8
513.3918363,04,76,114.2,114.2
513.5872991,04,76,114.2,114.2
513.6877067,04,70,113.6,113.6
513.7869868,04,6F,113.5,113.5
513.8873344,04,63,112.3,112.3
513.9876665,04,5D,111.7,111.7
514.0869921,04,5A,111.4,111.4
514.1873382,04,55,110.9,110.9
514.3670205,04,4E,110.2,110.2
514.5651806,04,4E,110.2,110.2
514.6655686,04,4F,110.3,110.3
514.7648763,04,4E,110.2,110.2
514.8651994,04,53,110.7,110.7
514.9655621,04,56,111,111
515.0649007,04,4C,110,110
515.1652644,04,46,109.4,109.4
515.2656155,04,42,109,109
515.5481919,04,3D,108.5,108.5
515.6485632,04,38,108,108
515.7478642,04,35,107.7,107.7
515.8482025,04,38,108,108
515.9485572,04,37,107.9,107.9
516.0479086,04,39,108.1,108.1
516.1482509,04,37,107.9,107.9
516.2485649,04,39,108.1,108.1
516.5418534,04,32,107.4,107.4
516.7472435,04,32,107.4,107.4
516.8475879,04,28,106.4,106.4
516.9469487,04,25,106.1,106.1
517.0472621,04,22,105.8,105.8
517.147611,04,25,106.1,106.1
517.2469334,04,1E,105.4,105.4
517.5690537,04,25,106.1,106.1
517.6678094,04,2A,106.6,106.6
517.7681184,04,2D,106.9,106.9
